tipo_instrumento;ano_instrumento;mes_instrumento;categoria_valor;orgao_recebedor;codigo_orgao_recebedor;natureza_doador;doador_comodante;objeto_descritivo;quantidade_objeto;vigencia;processo_sei;recurso_tjmg_ou_mpmg
Termo de Doação;2025,0;1;Entre 100 k e 500k;Polícia Militar de Minas Gerais - PMMG;1251,0;Privado;SIER MÓVEIS LTDA.;Veículo automotor, Ano: 2024/2025, Marca/Modelo: Mitsubish L 200 Triton, GL 2.4 D 4x4, MODELO 2024/2025, com kit de customização para viatura;1,0;Não se aplica;1250.01.0022317/2024-40;Não
Termo de Doação;2025,0;1;Entre 100 k e 500k;Secretaria de Estado de Justiça e Segurança Pública - SEJUSP;1451,0;Público;Ministério da Justiça e Segurança Pública - MJSP;Veículo Toyota YARIS, zero km, cinco portas, capacidade máxima 5 passageiros, motor 1.5 l dual vvt-i 16 v dohc flex, gasolina 105cv/etanol 110cv, câmbio automático de sete marchas, direção eletroassistida progressiva (eps), chassi 9brbc3f37r8297973, cor do veículo prata;1,0;Não se aplica;1450.01.0234455/2024-88;Não
Termo de Doação;2025,0;1;Acima de 500k;Secretaria de Estado de Justiça e Segurança Pública - SEJUSP;1451,0;Público;Ministério da Justiça e Segurança Pública - MJSP;07 - Veículos Toyota YARIS SD XS, zero km, cinco portas, capacidade máxima 5 passageiros, motor 1.5 l dual vvt-i 16 v dohc flex, gasolina 105cv/etanol 110cv, câmbio automático de sete marchas, direção eletroassistida progressiva (eps), chassi 9brbc3f37r8297973, cor do veículo prata.;7,0;Não se aplica;1450.01.0220114/2024-71;Não
Termo de Transferência de Bem Móvel;2025,0;1;Abaixo de 100k;Polícia Civil do Estado de Minas Gerais​ – PCMG;1511,0;Privado;Associação de Criminalística de Minas Gerais (ACEMG);"06 - Microcomputador Dell Optiplex 7010 06 - Mouse Optico Dell Laser Wired 06 - Teclado Alfanumerico Dell KB522 06 - Monitor Dell de 24"" 02 - Estatação de Trabalho Dell Precision 3660 02 - Mouse Optico Dell MS116 02 - Teclado Alfanumerico, Padrao PTBR 02 - Unidade interna SPLIT HW 12 KB TUS SO FRIO 220V ECO INVERTER 02 - Unidade externa SPLIT HW 12 KB 02 - Cadeira caixa ergonômica diretor work sem braço 12 - Cadeira ergonômica diretor work sem braço 11 - Cadeira ergonômica executiva ferrara sem braço 01 - Unidade interna split hw 18 kbtus so frio 220v 01 - Unidade externa split hw 18 kbtus so frio 220v 02 - Monitor Dell de 23.8"" P2422H 02 - Estacao de Trabalho Dell Precision 3660 02 - Mouse Dell MS116 Preto 02 - Teclado Alfanumerico 01 - Banho Ultrassonico 40kHz com aquecimento 36C fixo - 6L - Bivolt 02 - Microcomputador Portatil Dell Vostro 15 3520";72,0;Não se aplica;1510.01.0160324/2024-46;Sim
Termo de Doação;2025,0;1;Acima de 500k;Polícia Civil do Estado de Minas Gerais​ – PCMG;1511,0;Público;Município de Araxá;Serviço de reforma do prédio para instalação da 2ª Delegacia Regional de PCMG;1,0;Não se aplica;1510.01.0244664/2024-38;Não
Termo de Doação;2025,0;1;Abaixo de 100k;Polícia Civil do Estado de Minas Gerais​ – PCMG;1511,0;Público;Ministério da Justiça e Segurança Pública - MJSP;04 - MINIDESKTOP 01 - WORKSTATION 07 - NOTEBOOK;3,0;24 meses;1450.01.0247038/2024-41;Não
Contrato de Doação;2025,0;1;Abaixo de 100k;Secretaria de Estado de Justiça e Segurança Pública - SEJUSP;1451,0;Privado;Valdeir dos Santos;01 - Canino Pastor Alemão, Fêmea, Pelagem Capa Preta, Data de Nascimento: 21/11/2022, para proteção e farejador;1,0;Não se aplica;1450.01.0134918/2023-11;Não
Termo de Doação;2025,0;1;Acima de 500k;Secretaria de Estado de Saúde de Minas Gerais - SES;1321,0;Público;Ministério da Saúde - MS;23 - Veículo Automotor Furgão Marca Renault, Modelo Master, Cor predominantemente branca, Ano/Modelo: 2024/2025, Motor a Diesel, 136 CV, adaptado para ambulância, conforme descrivo técnico constante no Termo de Referência do Pregão Eletrônico SRP nº 150/2023, gerador da Ata de Registro de Preços ARP nº 4/2024.;23,0;Não se aplica;1320.01.0192975/2024-19;Não
Termo de Doação;2025,0;1;Acima de 500k;Polícia Militar de Minas Gerais - PMMG;1251,0;Público;Secretaria Nacional de Segurança Pública - SENASP;04 - Caminhonete 4x4 Caracterizada com comparmento de Dedos - Mitsubishi, modelo L200 Triton GLS 02 - I / FIAT CRONOS DRIVE1 .3AT 04 - Veículo TOYOTA/YARIS SA XS15;10,0;60 meses;1450.01.0204414/2023-84;Não
Termo de Doação;2025,0;1;Abaixo de 100k;Polícia Civil de Minas Gerais - PCMG;1511,0;Público;Ministério da Justiça e Segurança Pública - MJSP;3.050 - Munições 9mm LUGER+P EXPO 147gr / LOTE - ERD31;3050,0;Não se aplica;​​​​​​​1510.01.0007446/2025-11;Não
Termo de Doação;2025,0;1;Abaixo de 100k;Polícia Civil de Minas Gerais - PCMG;1511,0;Público;Ministério da Justiça e Segurança Pública - MJSP;2 Dock Staon Acer® USB Tipo-C Gen 1 P 2 Notebook Acer Aspire 5 15.6 i7-12650H 2x8Gb Ssd 512Gb W11P A515-57;4,0;24 meses;1510.01.0007498/2025-62;Não
Contrato de Doação;2025,0;1;Abaixo de 100k;Secretaria de Estado de Justiça e Segurança Pública - SEJUSP;1451,0;Privado;Conselho Comunitário de Segurança Pública de São Mateus/MG;1 GRAVADOR DIGITAL VÍDEO 16 CÂMERA IP 1 GRAVADOR DIGITAL VIDEO 10 CÂMERA DE TV P/SIST. DE SEGURANÇA 6 COMPUTADOR 6 WEBCAM 4 NOBREAK 6 AUDIOCONFERÊNCIA 1 SWITCH;9,0;Não se aplica;1450.01.0211164/2024-94;Não
Contrato de Doação;2025,0;1;Abaixo de 100k;Secretaria de Estado de Justiça e Segurança Pública - SEJUSP;1451,0;Privado;CONSORCIO 2021;15 CAMERA DOME 2 MEGAS 2 CAMERA SPEED 1 MESA CONTROLADORA 1 DVR HIKVISION 08 CANAIS;4,0;Não se aplica;1450.01.0111249/2024-35;Não
Contrato de Doação;2025,0;1;Abaixo de 100k;Secretaria de Estado de Justiça e Segurança Pública - SEJUSP;1451,0;Privado;Flávio Júnio Gonçalves;"CÃO/FÊMEA; LEONA; RAÇA: PASTOR BELGA DE MALINOIS (cão de guarda e proteção); FILHOTE 01/02/2024.";1,0;Não se aplica;1450.01.0068896/2024-33;Não
Contrato de Doação;2025,0;1;Abaixo de 100k;Secretaria de Estado de Justiça e Segurança Pública - SEJUSP;1451,0;Privado;CONSEP – Conselho Comunitário de Segurança Pública de Tupaciguara;01 - FORMA EM CHAPA 1/8 PARA PREMOLDADOS 01 - MESA VIBRATÓRIA EM CHAPA 1/8 01 - MONTAGEM, INSTALAÇÃO E TREINAMENTO DE PESSOAL;3,0;Não se aplica;1450.01.0044387/2024-42;Não
Termo de Doação;2025,0;1;Entre 100 k e 500k;Polícia Civil de Minas Gerais - PCMG;1511,0;Privado;Fundação de Apoio Universitário – FAU;"01 - FIAT/PULSE DRIVE MT; Placa: TCM4H22; Ano Fabricação: 2024; Ano Modelo: 2025; Cor: CINZA; Combustível: ÁLCOOL/GASOLINA Chassi: 9BD363AZLSYS58506; 01 - RENAULT/OROCH OUTSIDE13C; Placa: TCQ2F37; Ano Fabricação: 2024; Ano Modelo: 2025; Cor: PRETA; Combustível: ÁLCOOL/GASOLINA, Chassi: 93Y9SR5ZSSJ083336; 01 - VW/POLO SENSE; Placa: TCY5F86; Ano Fabricação: 2024; Ano Modelo: 2025; Cor: PRETA; Combustível: ÁLCOOL/GASOLINA; Chassi: 9BWAH5BZ4ST622632;  01 - VW/POLO SENSE; Placa: TCY5G63; Ano Fabricação: 2024; Ano Modelo: 2025; Cor: PRETA; Combustível: ÁLCOOL/GASOLINA; Chassi: 9BWAH5BZ9ST626370.";4,0;Não se aplica;1510.01.0267641/2024-71;Sim
Termo de Recebimento;2025,0;1;Acima de 500k;Gabinete Militar do Governador de Minas Gerais – GMG;1071,0;Privado;Vale S.A.;Caminhão carroceria aberta, porte médio, 3/4 até 4 ton. de carga útil, fabricação IVECO/DAILY 55C17CS, ANO/MODELO 2013/2013, diesel, placa OQA-3946;1,0;Não se aplica;1070.01.0002991/2024-31;Sim
Termo de Doação;2025,0;1;Abaixo de 100k;POLÍCIA CIVIL DE MINAS GERAIS - PCMG;1511,0;Privado;Vale S.A.;"VEÍCULO DUSTER INTENSE PLUS MT 1.6; MOTOR: H4MK743Q085362; COR: PRETO NACRE; POTÊNCIA: 120 CV CIL.:1598; COMBUST.: ALCOOL/GASOLINA; RENAVAM.: 201654; ANO FAB.: 2024/2025.";1,0;Não se aplica;1510.01.0059531/2023-28;Sim
Contrato de Doação;2025,0;1;Abaixo de 100k;Secretaria de Estado de Justiça e Segurança Pública - SEJUSP;1451,0;Privado;Valdeir dos Santos;Canino Pastor Alemão, Fêmea, Pelagem Capa Preta, Data de Nascimento: 21/11/2022, para proteção e farejador - Adulto;1,0;Não se aplica; 1450.01.0134918/2023-11;Não
Termo de Doação;2025,0;1;Entre 100 k e 500k;Polícia Militar de Minas Gerais​ – PMMG;1251,0;Privado;Sier Móveis LTDA;Automóvel marca um veículo Mitsubishi L200 Triton Spo GL, cabine dupla, diesel, ano de fabricação/modelo 2024/2025, chassi 93XLJKL1TSCR85850, motor 4N15BAL6185, zero quilômetro - Placa TDA3F72;1,0;Não se aplica;1250.01.0020458/2024-84;Não
Termo de Doação;2025,0;1;Entre 100 k e 500k;Corpo de Bombeiros Militar de Minas Gerais - CBMMG;1400,0;Privado; Fundação Salvar;Automóvel marca RENAULT/OROCH chassi ,93Y9SR8V6SJ083134 , zero quilômetro - Placa TCT8H35 - Condição Novo;1,0;Não se aplica;1400.01.0012963/2024-50;Não
Termo de Doação;2025,0;1;Abaixo de 100k;Polícia Civil de Minas Gerais - PCMG;1511,0;Público;Secretaria Nacional de Segurança Pública do Ministério da Justiça e Segurança Pública;01 Enfoc - Recupera / Minidesktop  NÚMERO DE SÉRIE      01043645010001 01 Enfoc - Recupera / Notebook	NÚMERO DE SÉRIE	PE09MDR1 01 Enfoc - Recupera / Notebook	NÚMERO DE SÉRIE	PE09MDR8 01 Enfoc - Renarc / Minidesktop	NÚMERO DE SÉRIE	01043645010007 01 Enfoc - Renarc / Minidesktop	NÚMERO DE SÉRIE	01043645010006 01 Enfoc - Renarc / Workstation	NÚMERO DE SÉRIE	01043639010001 01 Enfoc - Renarc / Notebook	        NÚMERO DE SÉRIE	PE09MDQ8 01 Enfoc - Renarc / Notebook	        NÚMERO DE SÉRIE	PE09BJBP 01 Enfoc - Renarc / Notebook	        NÚMERO DE SÉRIE	PE09MDR9 01 Enfoc - Renarc / Notebook	        NÚMERO DE SÉRIE	PE0ATNAZ 01 Enfoc - Renarc / Notebook	        NÚMERO DE SÉRIE	PE09MDQ3 01 Enfoc - Vetus /  Minidesktop	NÚMERO DE SÉRIE	0104364501000;12,0;24 meses;1510.01.0198998/2024-53;Não
Termo de Doação;2025,0;1;Abaixo de 100k;Polícia Civil de Minas Gerais - PCMG;1511,0;Privado;Fundação de Apoio à Universidade Federal de São João del-Rei – FAUF/UFSJ,;01 Veículo caminhonete Mitsubishi L200 Triton - chassi 93XXNKB8TFCE03972;1,0;Não se aplica;1510.01.0002082/2024-21;Não
Termo de Transferência de Bens;2025,0;1;Abaixo de 100k;Polícia Civil de Minas Gerais - PCMG;1511,0;Privado;Associação Lavrense para Assuntos de Segurança Pública - ALASP;10 Algemas de Tornozelo marca New Season Niquelada 10 Algemas Rossi Com Corrente Inox - Para 500 Kg De Forca 5 Ar condicionado 12.000 BTUS Philco Eco Inverter Quente/Frio com material e instalação inclusos 1 Escada Telescópica De Alumínio Multifuncional 13 Degraus  1 Tesoura CT Vergalhão 30 POL STARFER 1 Cafeteira Comercial Industrial 8 Litros Padaria E Lanchonete 6 Amettal cadeira fixa ISO polipropileno 1 Projetor Datashow Tomate Mpr-2008 5000 Lumens 110v/220v Preto 1 Purificador De Agua Lorenzetti Naturalis 1 Lavadora alta pressão ousada 2200 127v WAP 1 Tela de projeção 1.80x1.80 retrátil;11,0;Não se aplica;1510.01.0020030/2024-37;Sim
Contrato de Doação;2025,0;1;Abaixo de 100k;Secretaria de Estado de Justiça e Segurança Pública - SEJUSP;1451,0;Privado;Associação do conselho de defesa social de sete lagoas -ACONDES;1	NOTEBOOK	87109575B 2	NOTEBOOK	87109590I 3	NOTEBOOK	87109448A 4	NOTEBOOK	87109526R 5	NOTEBOOK	87109330M 6	ADAPTADOR WI-FI	22445L7035755 7	ADAPTADOR WI-FI	22445L7035863 8	ADAPTADOR WI-FI	22445L7035757 9	ADAPTADOR WI-FI	22445L7035847 10	ADAPTADOR WI-FI	22445L7035762 11	ADAPTADOR WI-FI	22445L7036107 12	REPETIDOR DE SINAL	SEM Nº SÉRIE 13	REPETIDOR DE SINAL	SEM Nº SÉRIE 14	REPETIDOR DE SINAL	SEM Nº SÉRIE 15	REPETIDOR DE SINAL	SEM Nº SÉRIE 16	REPETIDOR DE SINAL	SEM Nº SÉRIE 17	REPETIDOR DE SINAL	SEM Nº SÉRIE 18	REPETIDOR DE SINAL	SEM Nº SÉRIE 19	REPETIDOR DE SINAL	SEM Nº SÉRIE 20	REPETIDOR DE SINAL	SEM Nº SÉRIE 21	REPETIDOR DE SINAL	SEM Nº SÉRIE;21,0;Não se aplica; 1450.01.0246750/2024-57;Não
Termo de Transferência de Bens;2025,0;2;Abaixo de 100k;Polícia Civil de Minas Gerais - PCMG;1511,0;Privado;Conselho Maçônico de Segurança Pública - COMASP;"1 - DRONE 1 - IPAD (7A GERAÇÃO0 128 GB WI-FI * 4G TELA RETINA 10,2 '' BLUETOOTH CÂMERA DE 8MP CINZA ESPACIAL - APPLE 6 - SPLIT 9000 HW FRIO ELGIN ECO POWER - EVAP / SPLIT 9000 HW FPIO ELGIN ECO POWER 220 V -1 - COND; 4 - SUPORTE PARA CPU AJUSTÁVEL COM ROÍZIOS -CPUMM - MASTICMOL; 2 - FRAGMENTADORA DE PAPEL 7FLS 1 - MONITOR LED 19, 5'' HQ 19.5 WHQ-LED; 3 - PC EASYPC INTEL 15 8GB 500 GB LINUX; 1 - PC CORPC INTEL 15 8GB SSD 240 GB LINUX; 3 - SISTEMA OPERACIONAL LINUX HOME; 1 - SISTEMA OPERACIONAL LINUX HOME; 3 - MONITOR LED 19,5 'HQ 19.5 WHQ -LE HDMI; 1 - MONITOR LED 19,5 HQ 19.5 WHQ - LED HDMI; 1 - CÂMERA DIGITAL EOS 7100 CANON; 1 - IMPRESSORA LEXMARK LASER, MONO, 110 V; 1 - SERVIÇOS DE ARMÁRIO PARA ESCRITÓRIO / SUPORTE PARA 2 MONITORES PCYES; 1 - SERVIÇOS DE ARMÁRIO PARA IMPRESSORA; 1 - CARTÃO DE MEMÓRIA SANDISK 32 GB; 1 - CADEIRA KING PRESIDENTE; 3 - TL - CDE - 34 - 1 CADEIRA DE ESCRITÓRIO.";19,0;Não se aplica;1510.01.0050809/2024-03;Sim
Termo de Doação;2025,0;1;Abaixo de 100k;Polícia Civil de Minas Gerais - PCMG;1511,0;Público;Ministério da Justiça e Segurança Pública - MJSP;1 - Aeronaves Remotamente Pilotadas (Drone);1,0;24 meses;1450.01.0168274/2024-41;Não
Termo de Transferência de Bens;2025,0;2;Abaixo de 100k;Polícia Civil de Minas Gerais - PCMG;1511,0;Privado;Conselho Maçônico de Segurança Pública - COMASP;1 - BEBEOURO K40 - 127V 1 - SCANNER DE MESA CANON COLOR, DUPLEX, PRETO DR-C230 1 - IMPRESSORA HP LASER 107A, LASER, MONO, 110 V, BRANCO - 4ZB77A696 1 - DRIVE ASUS GRAVADOR EXTERNO CD/DVD, LEITOR CD DVD, STYLISH DIAMOND, WINDOWS E MAC, USB, PRETO 1 - HD EXTERNO SEAGATE EXPANSION, 1TB, USB, PRETO 4 - JBL C300SI 1 - COFRE ESPECIAL 1,30 X 0,42 X 0,40 1 - TECLADO E MOUSE SEM FIO MICROSOFT 4 - CADEIRA INTERNAUTA PREMIUN - EXECUTIVA STANDER - BASE 0022 PRETA - 1 - DEFLETOR DE AR CONDICIONADO 80 CM 2,40m - CORT. ROLO AMOPRINT - BK PINPOINT - 0180 1 - FABRICAÇÃO DE MESA, PRATELEIRA E ARMÁRIO 1 - PRESTAÇÃO E SERVIÇO E INSTALAÇÃO DE SISTEMA DE MONITORAMENTO 2 - CÂMERA WEBCAM FULL HD LOGITECH C920s Preta 2 - CAIXA DE SOM MULTIMÍDIA LOGITECH 2 - PNEU 175/70R13 82T DIRECTION 2 TOURING PRETO 5 - CARTÃO DE MEMÓRIA Ml 128 GB ULTRA CLASSE 10 XC A1 - ACOMPANHA SD CART APTER E LEITOR USB 1 - KIT4 CADEIRA EMPILHÁVEL ISO FIXA ESCOLAR PRETA PARA ESCRIT´RIO RECEPÇÃO 1 - ASSENTO CADEIRA ISO 1 - UGREEN HUB 4 PORTAS USB 3.0 MICRO USB POWER CABO 1M 20261 1 - REVISÃO DE SUSPENSÃO DIANTEIRA TRASEIRO ALIAMENTO E BALANCEAMENTO 2 - BUCHA BAND SUSP DIANT ECOSPORT 4X2/4X4 2 - BUCHA BAND SUSP. DIANT ECO SPORT/FIESTA 1 - BATERIA M48FD MGE2 SLI 2 - COXIM DO AMORTECEDOR SUPERIOR DIANT ECOSPORT/FIESTA 2 - AMORTECEDOR GÁS - PREMIUM DIANT. FIESTA 2 - AMORT. PRES. COFAP LS 1.750 FIESTA 2003/COD:CFGB27471 1 - BRD1723 - BARRA AXIAL DE DIREÇÃO ECOSPORT/FIESTA/KA 2 - KIT DO ARMOTECEDOR DIANT ECOSPORT/FIESTA/02/14 2 - KIT DO AMORTECEDOR TRÁS FIESTA/KA 1 - PRESTAÇÃO DE SREVIÇO E ALINHAMENTO EM VEÍCULO 4 - PRESTAÇÃO DE SERVIÇO DE BALANCEAMENTO EM RODA DE VEÍCULO 1 - PRESTAÇÃO DE SREVIÇO E TROCA EM SUSPENSÃO DE VEÍCULO 2 - AMORT. COF. PALIO TODOS TRAZ 96 > 1 - KIT. AMORT. COMPL PALI/SIEN/ESTRA 95 > ESQ 1 - KIT. AMORT. COMPL.PALI/SIENA/ESTRA 96 > DIR 2 - AMORTECEDOR DIANT PÁLIO STRADA LOCKER 1 - PARÁBR. FIAT PÁLIO 1 - COLA PARABRISA DYNAMIC GLASS TUBO 310 ML 2 - REP BRAÇO OSCIL PÁLIO WEEK STRADA TIPO 1 - RETROVISOR FIESTA HATCH/SEDAN 2002 1 - AGREGADO MOTOR - PÁLIO FIRE 1 - SERVIÇO DE APLICAÇÃO DE INSULFILM CARRO FIESTA 1 - SERVIÇO DE APLICAÇÃO DE INSULFILM CARRO PALIO WEEKEND 1 - BOBINA DE IGNIÇÃO PALIO WEEKEN 1 - COND HW ECO POWER FR 12k 3 - CÂMERA DE AÇÃO SJCAM A10 22 - CD GRAVÁVEL 18 - DVD GRAVÁVEL 1 - PAINEL LED SOBR 18W BIV QUA 22 CM BCA UN;49,0;Não se aplica;1510.01.0050991/2024-36;Não
Termo de Transferência de Bens;2025,0;2;Abaixo de 100k;Polícia Civil de Minas Gerais - PCMG;1511,0;Privado;Conselho Comunitário de Segurança Pública de Montes Claros - CONSEP;"2 - PAD-STU AK 560 PARA ASSINATURA 1 - MICRO MINI 2 SE DRONE DJI FLY MOR 3 - PAD-STU AK 560 PARA ASSINATURA 3 - IMPRESSORA HP 4103FDW MULTIF LASER PRO; 2 - CART/ CABE HP PTO KIT 10 UNID; 1 - CART / CABE HP PTO KIT 09 UNID";4,0;Não se aplica;1510.01.0012671/2024-74;Sim
Termo de Comodato;2025,0;2;Entre 100 k e 500k;Polícia Militar de Minas Gerais - PMMG;1251,0;Privado;Conselho Comunitário de Segurança Publica de Guaxupé - CONSEP;Veículo CHEVROLET TRACKER, preto ouro negro, chassi: 9BGEB76D0SB220354, Ano 2024, Modelo 2025, Placa TDN3D58;1,0;5 anos;1250.01.0001830/2025-92;Não
Termo de Doação;2025,0;2;Acima de 500k;Fundação Estadual do Meio Ambiente - FEAM;1301,0;Privado;Fundação de Ensino e Pesquisa de Uberaba - FUNEPU;02 Veículos FORD BRONCO S WILD 2.0, Ano/Modelo 2024/2024, Cor Branca;2,0;Não se aplica; 2090.01.0030995/2024-19;Sim
Contrato de Doação;2025,0;2;Abaixo de 100k;Secretaria de Estado de Justiça e Segurança Pública​ - SEJUSP;1451,0;Privado;Associação do Conselho de Defesa Social de Sete Lagoas;AR CONDICIONADO SPLIT HQ 12K 220V, HQ AR CONDICIONADO SPLIT 24K 220V, HQ AR CONDICIONADO SPLIT INV NEW 12K 220v, MIDEA IMPRESSORA TANQUE DE TINTA EPSON ECOTANK L1250, EPSON STAND ALONE 16 CH, INTELBRAS POWER BALUN 16 CANAIS, INTELBRAS ALICATE AMPERIMETRO DIGITAL ET 3200 1000A 1000V, ININIPA SERRA MARMORE 127V 1300W MAKITA C/ ACESSORIOS, MAKITA PARAF/FURAD. DEWALT C/ IMPACTO 20V DCD 7781D2-BR, DEWALT MARTELETE 3,6 ROTAT.ROMPEDOR 127V 800W DEWALT, DEWALT ESMERILHADEIRA ANG.4.1/2 127V 720W MAKITA 110V, MAKITA MARTELETE 10KG SDS MAX 220V DEWALT, DEWALT MOTO ESMERIL MENEGOTTI 150/5 127/200V BIVOLT, MENEGOTTI;13,0;Não se aplica;1450.01.0003727/2025-13;Não
Contrato de Doação;2025,0;2;Abaixo de 100k;Secretaria de Justiça e Segurança Pública - SEJUSP;1451,0;Público;Prefeitura Municipal de Peçanha/MG;"MICROCOMPUTADOR ARQUIMEDES CORPORATIVO - B- 8 GB I-3; MONITOR LG 22BN550";1,0;Não se aplica;1450.01.0210090/2024-89;Não
Contrato de Doação;2025,0;2;Entre 100 k e 500k;Secretaria de Estado de Justiça e Segurança Pública​ - SEJUSP;1451,0;Público;Departamento de Estradas de Rodagem do Estado de Minas Gerais - DER;Marca Fiat, Modelo Doblo Essence 1.8, 2013, Placa ORC-8949 Marca Fiat, Modelo Doblo HLX 1.8 FLEX, 2009/2010, Placa HNH-0283;2,0;Não se aplica;1450.01.0164823/2024-98;Não
Contrato de Doação;2025,0;2;Abaixo de 100k;Secretaria de Estado de Justiça e Segurança Pública​ - SEJUSP;1451,0;Privado;Conselho de Segurança Publica do Município de Inhapim – CONSEP;Ar Condicionado Split LG Inverter 1200 BTU Ar Condicionado Split SAMSUNG Wind Free 12000 BTU Máquina de Lavar Brastemp 17 kg Máquina de Lavar Consul 12 kg Secadora Eletrolux;5,0;Não se aplica;1450.01.0032820/2025-08;Não
Contrato de Doação;2025,0;2;Abaixo de 100k;Instituto Mineiro de Agropecuária - IMA;2371,0;Privado;GOWAN PRODUTOS AGRÍCOLAS LTDA;"2.500 - Exemplares de uma pequena revista de 20 páginas 2.500 - Jogos da Memória ""Defensores da Agricultura"" contendo espécie de história em quadrinhos";2,0;Não se aplica;2370.01.0017538/2024-06;Não
Decisão Judicial;2025,0;2;Abaixo de 100k;Polícia Civil de Minas Gerais - PCMG;1511,0;Privado;Força Integrada de Combate ao Crime Organizado - FICCO;50 - SMARTPHONE XIAOMI REDMI 13 - 8GB RAM 256GB 15 - TABLET APPLE IPAD (9TH) 64 GB;2,0;Não se aplica;1510.01.0277352/2024-65;Sim
